poi_id,poi_type,poi_name,latitude,longitude,radius_meters
44,Grocery Store,SPAR улица Виктора Гакуна 5А [Калининград],54.748027,20.52831,500
45,Grocery Store,SPAR улица Старшины Дадаева 63 [Калининград],54.7298092,20.54235,500
46,Grocery Store,SPAR Краснопрудная улица 65 [Калининград],54.7089798,20.57862,500
47,Grocery Store,SPAR Красносельская улица 85А [Калининград],54.7203537,20.44267,500
48,Grocery Store,SPAR улица Олега Кошевого 37А [Калининград],54.6689222,20.5128999,500
49,Grocery Store,SPAR улица Горького 96 [Калининград],54.7319775,20.51084,500
50,Grocery Store,SPAR улица Гайдара 112 [Калининград],54.7423176,20.49925,500
51,Grocery Store,SPAR Советский проспект 234 [Калининград],54.7492894,20.45835,500
52,Grocery Store,SPAR Sovetskaya ulitsa 4 [Svetlyy],54.6757617,20.1346,500
53,Grocery Store,SPAR Московский проспект 231 [Калининград],54.708782,20.57329,500
54,Grocery Store,SPAR улица Генерала Буткова 16 [Калининград],54.7094498,20.4945999,500
55,Grocery Store,SPAR Балтийское шоссе 114 [Калининград],54.7152214,20.37263,500
56,Grocery Store,SPAR Краснооктябрьская улица 1-7 [Калининград],54.7025163,20.50613,500
57,Grocery Store,SPAR улица Ст. Лейтенанта Сибирякова 13 [Калининград],54.735521,20.50549,500
58,Grocery Store,SPAR улица В. Егорова 10 [Балтийск],54.6597479,19.91051,500
59,Grocery Store,SPAR Минусинская улица 16 [Калининград],54.6776927,20.4755,500
60,Grocery Store,SPAR улица Пушкина 5 [Калининград],54.7180708,20.47362,500
61,Grocery Store,SPAR Крайняя улица 1В [Гурьевский район],54.7773908,20.59585,500
62,Grocery Store,SPAR улица Дзержинского 160А [Калининград],54.6741776,20.54179,500
63,Grocery Store,SPAR Moskovskiy Prospekt 174 [Kaliningrad],54.7094501,20.54343,500
64,Grocery Store,SPAR ulitsa Ponartskaya 3 [Kaliningrad],54.6633801,20.50654,500
65,Grocery Store,SPAR ulitsa Tolstikova 2 [Kaliningrad],54.6791459,20.4923499,500
66,Grocery Store,SPAR ulitsa Kiyevskaya 119Б [Kaliningrad],54.6811588,20.46819,500
67,Grocery Store,SPAR Ulitsa Shaturskaya 5 [Vasil'kovo],54.7416621,20.58106,500
68,Grocery Store,SPAR Primorskoye Koltso 2 [Gur'yevskiy Rayon],54.7729448,20.5487499,500
69,Grocery Store,SPAR Sadovaya ulitsa 3 [Pionerski],54.9499475,20.22559,500
70,Grocery Store,SPAR Okruzhnaya ulitsa 15 [Zelenogradskiy rayon],54.9544761,20.48358,500
71,Grocery Store,SPAR Kaliningradskaya ulitsa 2 [Chernyakhovsk],54.6370097,21.8073,500
72,Grocery Store,SPAR ulitsa Turgeneva 1Б [Zelenogradsk],54.9588029,20.4739,500
73,Grocery Store,SPAR ulitsa Lenina 15 [Svetlogorsk],54.9446026,20.15561,500
74,Grocery Store,SPAR ulitsa Gor'kogo 13 [Svetlyy],54.6764606,20.13663,500
75,Grocery Store,SPAR Aldanskaya ulitsa 4Б [Kaliningrad],54.7275993,20.35302,500
76,Grocery Store,SPAR prospekt Pobedy 40 [Kaliningrad],54.7147452,20.45831,500
77,Grocery Store,SPAR prospekt Mira 31 [Kaliningrad],54.719749,20.48482,500
78,Grocery Store,SPAR Teatral'naya ulitsa 21 [Kaliningrad],54.7165763,20.50036,500
79,Grocery Store,SPAR ulitsa Proletarskaya 55-61A [Kaliningrad],54.7174073,20.51257,500
80,Grocery Store,SPAR ulitsa Chernyakhovskogo 76 [Kaliningrad],54.7204317,20.51626,500
81,Grocery Store,SPAR ulitsa Aleksandra Nevskogo 24-30 [Kaliningrad],54.7266558,20.5280099,500
82,Grocery Store,SPAR ulitsa Partisana Zheleznyaka 3 [Kaliningrad],54.7288478,20.53904,500
83,Grocery Store,SPAR ulitsa Lipovaya alleya 2 [Kaliningrad],54.7319884,20.55083,500
84,Grocery Store,SPAR Aeroportnaya ulitsa 12 [Kaliningrad],54.7310942,20.55414,500
85,Grocery Store,SPAR ulitsa Krymskaya 8 [Kaliningrad],54.7078652,20.5871299,500
86,Grocery Store,SPAR Epronovskaya ulitsa 21 [Kaliningrad],54.7021489,20.51277,500
87,Grocery Store,SPAR ulitsa Aleksandra Suvorova 40 [Kaliningrad],54.693616,20.4727,500
88,Grocery Store,SPAR Avtomobil'naya ulitsa 22 [Kaliningrad],54.6743802,20.4901899,500
89,Grocery Store,SPAR Internatsional'naya ulitsa 76 [Kaliningrad],54.6688318,20.5102699,500
90,Grocery Store,SPAR ulitsa Kashtanovaya alleya 157 [Kaliningrad],54.735774,20.46312,500
91,Grocery Store,SPAR ulitsa Karla Marksa 118Б [Kaliningrad],54.7245092,20.46467,500
92,Grocery Store,SPAR ulitsa Kashtanovaya alleya 97 [Kaliningrad],54.7265822,20.4635,500
93,Grocery Store,SPAR ulitsa Kosmonavta Leonova 48 [Kaliningrad],54.7311289,20.4817,500
94,Grocery Store,SPAR ulitsa Narvskaya 46 [Kaliningrad],54.7317231,20.4979,500
95,Grocery Store,SPAR ulitsa Generala Chelnokova 11 [Kaliningrad],54.7374964,20.48757,500
96,Grocery Store,SPAR ulitsa Gor'kogo 170 [Kaliningrad],54.7491993,20.50166,500
97,Grocery Store,SPAR ulitsa Aleksandra Nevskogo 137Б [Kaliningrad],54.7418275,20.53175,500
98,Grocery Store,SPAR ulitsa Belanova 85А [Kaliningrad],54.7726019,20.44694,500
99,Grocery Store,SPAR Rublyovo-Uspenskoye shosse 186 [Odintsovo],55.7372753,37.24856,500
100,Grocery Store,SPAR ulitsa Pobedy 28 [Krasnosnamensk],55.591569,37.03334,500
101,Grocery Store,SPAR Tallinnskaya ulitsa 18 [Moskva],55.7971219,37.40254,500
102,Grocery Store,SPAR ulitsa Kulakova 14 [Moskva],55.8089341,37.39553,500
103,Grocery Store,SPAR Podmoskovnyy bul'var 5 [Krasnogorsk],55.8210909,37.36763,500
104,Grocery Store,SPAR Pyatnitskoye shosse 43 [Moskva],55.8572893,37.35053,500
105,Grocery Store,SPAR prospekt Mel'nikova 10 [Chimki],55.9027709,37.40463,500
106,Grocery Store,SPAR Festival'naya ulitsa 8 [Moskva],55.8587618,37.4920199,500
107,Grocery Store,SPAR Chasovaya ulitsa 16 str 1 [Moskva],55.8090015,37.5302999,500
108,Grocery Store,SPAR ulitsa Grizdubovoy 2 [Moskva],55.7826088,37.53183,500
109,Grocery Store,SPAR ulitsa Pravdy 4 [Moskva],55.7833979,37.57668,500
110,Grocery Store,SPAR Leningradskiy prospekt 1 [Moskva],55.7777564,37.58037,500
111,Grocery Store,SPAR Dolgorukovskaya ulitsa 2 [Moskva],55.7743929,37.60455,500
112,Grocery Store,SPAR Tsvetnoy bul'var 11 str 2 [Moskva],55.7701158,37.62042,500
113,Grocery Store,SPAR Strastnoy bul'var 4 [Moskva],55.7653449,37.60776,500
114,Grocery Store,SPAR Tverskaya ulitsa 9 [Moskva],55.7597539,37.61065,500
115,Grocery Store,SPAR Manezhnaya ploshchad 1 str 2 [Moskva],55.7557979,37.6146,500
116,Grocery Store,SPAR ulitsa Maroseyka 9/2 str 1 [Moskva],55.7577579,37.63434,500
117,Grocery Store,SPAR ulitsa Bol'shaya Lubyanka 12/1 [Moskva],55.7618704,37.62841,500
118,Pharmacy,Apteka Sotsialnaya Apteka; ulitsa Kutaisskaya 3 [Kaliningrad],54.7097094,20.57893,1000
